,time_start,time_end,model,launch_place,target,launched,destroyed,source,missed,year,month,attack_duration
10,2025-04-16 20:00:00,2025-04-17 10:00:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,75.0,25.0,kpszsu/posts/pfbid034acCnsttq4uJZ4xDTYumgvHqNXKvyx9amNiaJab7cKfyN69B7g3KEe6mfk4BVfMWl,50.0,2025,4,0 days 14:00:00
11,2025-04-16 20:00:00,2025-04-17 10:00:00,Iskander-M,Rostov oblast,Ukraine,2.0,0.0,kpszsu/posts/pfbid034acCnsttq4uJZ4xDTYumgvHqNXKvyx9amNiaJab7cKfyN69B7g3KEe6mfk4BVfMWl,2.0,2025,4,0 days 14:00:00
12,2025-04-16 20:00:00,2025-04-17 10:00:00,C-300/C-400,Luhansk oblast,Ukraine,3.0,0.0,kpszsu/posts/pfbid034acCnsttq4uJZ4xDTYumgvHqNXKvyx9amNiaJab7cKfyN69B7g3KEe6mfk4BVfMWl,3.0,2025,4,0 days 14:00:00
13,2025-04-17 00:00:00,2025-04-17 00:00:00,Молнія,,south,2.0,2.0,PvKPivden/posts/pfbid0qi5kSZ8uwXWK2vdJXLkoRJihCf84ZhyKMQpeuKqdnHqL7ikhpJwzRKbZ12aifF1l,0.0,2025,4,0 days 00:00:00
14,2025-04-17 00:00:00,2025-04-17 00:00:00,Reconnaissance UAV,,south,4.0,4.0,PvKPivden/posts/pfbid0qi5kSZ8uwXWK2vdJXLkoRJihCf84ZhyKMQpeuKqdnHqL7ikhpJwzRKbZ12aifF1l,0.0,2025,4,0 days 00:00:00
15,2025-04-17 00:00:00,2025-04-17 00:00:00,Orlan-10,,south,1.0,1.0,PvKPivden/posts/pfbid02Yjr26zrc2TXKxbomEzk1xxscD2ayWeYmkhNBtb4v8aCcrsyfPXHd85cFJvkCoTK6l,0.0,2025,4,0 days 00:00:00
16,2025-04-15 20:30:00,2025-04-16 09:30:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Ukraine,97.0,57.0,kpszsu/posts/pfbid0gobQ8FHVfYfxtLXwUY2fNuhmCfjjpRiTpd3Lgd7yV1oiVvFtZdqUPhrAvVfcjsX9l,40.0,2025,4,0 days 13:00:00
17,2025-04-14 19:30:00,2025-04-15 12:00:00,Shahed-136/131,Primorsko-Akhtarsk and Millerovo,Ukraine,52.0,26.0,kpszsu/posts/pfbid0Ze3pZ6X3Dfct8W5Ea3et7KaZQgEf3KPFBD53MJH6dYDsVzuBrZTRMYgtzucdJU8Wl,26.0,2025,4,0 days 16:30:00
18,2025-04-14 19:30:00,2025-04-15 12:00:00,Iskander-M/KN-23,Kursk oblast,Ukraine,1.0,0.0,kpszsu/posts/pfbid0Ze3pZ6X3Dfct8W5Ea3et7KaZQgEf3KPFBD53MJH6dYDsVzuBrZTRMYgtzucdJU8Wl,1.0,2025,4,0 days 16:30:00
19,2025-04-15 00:00:00,2025-04-15 00:00:00,Молнія,,south,1.0,1.0,PvKPivden/posts/pfbid02FJLnZtW1U1JtpirjeNxqAMzDLrYgjL6YyD2hjThiNhoxtMPG3RvtDj8BwyJpnwtol,0.0,2025,4,0 days 00:00:00
